in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
6,0,0,18,14,3470.058607,1970,1970,1344,1344,660,660,21.943766,20.770124
7,0,0,18,14,3646.499524,1872,1872,1256,1256,645,645,21.677369,20.308036
8,0,0,18,14,3798.411285,1812,1812,1204,1204,638,638,21.497363,19.966942
4,1,0,18,14,3117.370587,2389,2389,1708,1708,737,737,22.549877,21.745786
5,1,0,18,14,3323.554312,2153,2153,1504,1504,713,713,22.86159,21.895913
6,1,0,18,14,3500.832332,1995,1995,1361,1361,689,689,22.261732,21.162947
7,1,0,18,14,3688.965422,1897,1897,1274,1274,672,672,21.871318,20.595723
8,1,0,18,14,3822.72906,1832,1832,1219,1219,655,655,21.699232,20.239116
4,2,0,18,14,3085.451153,2353,2353,1681,1681,710,710,22.510358,21.679739
5,2,0,18,14,3289.718769,2125,2125,1482,1482,692,692,22.653416,21.670994
6,2,0,18,14,3475.815489,1971,1971,1342,1342,664,664,22.055929,20.914382
7,2,0,18,14,3671.207619,1881,1881,1263,1263,651,651,21.716887,20.394249
8,2,0,18,14,3793.265319,1812,1812,1201,1201,640,640,21.493984,20.009017
4,3,0,18,14,3080.994088,2330,2330,1656,1656,719,719,22.48949,21.616501
5,3,0,18,14,3304.815479,2100,2100,1455,1455,695,695,22.665987,21.634622
6,3,0,18,14,3474.488896,1945,1945,1316,1316,675,675,22.162839,20.905785
7,3,0,18,14,3656.390968,1872,1872,1251,1251,655,655,21.839926,20.41679
8,3,0,18,14,3794.932206,1810,1810,1198,1198,649,649,21.673396,20.074013
4,0,1,18,14,3232.549785,2394,2394,1681,1681,809,809,22.91167,22.209554
5,0,1,18,14,3399.032467,2136,2136,1466,1466,808,808,23.716074,22.814751
6,0,1,18,14,3592.548719,1992,1992,1338,1338,792,792,23.096917,22.01307
7,0,1,18,14,3763.712197,1912,1912,1268,1268,781,781,22.844305,21.554039
8,0,1,18,14,3912.524891,1863,1863,1229,1229,763,763,22.643803,21.195981
4,1,1,18,14,3198.98329,2441,2441,1721,1721,855,855,23.652915,22.997218
5,1,1,18,14,3403.670112,2177,2177,1503,1503,823,823,23.849213,22.99772
6,1,1,18,14,3599.291587,2028,2028,1372,1372,805,805,23.290673,22.265069
7,1,1,18,14,3775.416784,1934,1934,1285,1285,797,797,22.928948,21.7189
8,1,1,18,14,3920.735396,1880,1880,1243,1243,784,784,22.768102,21.397918
4,2,1,18,14,3219.241561,2437,2437,1716,1716,851,851,23.740811,23.102647
5,2,1,18,14,3417.754602,2175,2175,1497,1497,823,823,23.791278,22.977765
6,2,1,18,14,3614.448119,2027,2027,1369,1369,811,811,23.246669,22.260084
7,2,1,18,14,3782.096328,1939,1939,1290,1290,796,796,22.896208,21.724942
8,2,1,18,14,3945.574534,1879,1879,1241,1241,787,787,22.761637,21.432119
4,3,1,18,14,3180.68792,2392,2392,1678,1678,845,845,23.801771,23.079901
5,3,1,18,14,3409.033816,2141,2141,1468,1468,816,816,23.786448,22.867886
6,3,1,18,14,3597.5705,1996,1996,1340,1340,799,799,23.207592,22.104423
7,3,1,18,14,3783.502498,1919,1919,1271,1271,789,789,22.910698,21.610699
8,3,1,18,14,3904.704729,1864,1864,1228,1228,774,774,22.763205,21.28214
4,0,2,18,14,3091.052265,2364,2364,1660,1660,839,839,23.984986,23.004349
5,0,2,18,14,3326.579974,2130,2130,1467,1467,796,796,23.791291,22.61082
6,0,2,18,14,3519.971529,1968,1968,1320,1320,779,779,23.283173,21.900923
7,0,2,18,14,3701.418375,1892,1892,1254,1254,761,761,22.937053,21.358607
8,0,2,18,14,3821.000881,1842,1842,1208,1208,755,755,22.826262,21.054086
4,1,2,18,14,3105.249251,2401,2401,1695,1695,824,824,23.506042,22.560579
